family	endpoint	source	icd10
Autism	KRA_PSY_DEVWIDE_EXMORE	COD	F841
Autism	KRA_PSY_DEVWIDE_EXMORE	COD	F849
Autism	KRA_PSY_DEVWIDE_EXMORE	COD	F848
Autism	KRA_PSY_DEVWIDE_EXMORE	COD	F84
Autism	KRA_PSY_DEVWIDE_EXMORE	COD	F843
Autism	KRA_PSY_DEVWIDE_EXMORE	COD	F845
Autism	KRA_PSY_DEVWIDE_EXMORE	COD	F842
Autism	KRA_PSY_DEVWIDE_EXMORE	COD	F844
Autism	KRA_PSY_DEVWIDE_EXMORE	COD	F840
Autism	KRA_PSY_AUTISM_EXMORE	HD	F845
Autism	KRA_PSY_AUTISM_EXMORE	HD	F840
Autism	KRA_PSY_AUTISM_EXMORE	COD	F845
Autism	KRA_PSY_AUTISM_EXMORE	COD	F840
