shared	family	def1	def2	rg1	rg2	delta	se_delta	z	p	error_corr	min_detectable_delta	distance	icd10_jaccard	source_jaccard	log_case_ratio
BIP	Epilepsy	G6_EPLEPSY	FE_MODE	0.1944	0.261	-0.06660000000000002	0.05991193085347004	-1.1116316742133945	0.2662965480859394	0.7040581717472552	0.16784837986768794	0.6868686868686869	0.2727272727272727	0.6666666666666666	0.6669668491621752
BIP	Epilepsy	G6_EPLEPSY	GE	0.1944	-0.0235	0.21789999999999998	0.0796183417118385	2.7368065613403787	0.006203876101109575	0.24870984628891193	0.22305756923055392	0.7474747474747474	0.0909090909090909	0.6666666666666666	2.2254228481858638
BIP	Epilepsy	G6_EPLEPSY	GE_STRICT	0.1944	-0.0026	0.19699999999999998	0.1748910255592819	1.1264157172731766	0.2599895971026088	0.22944967698791086	0.4899721119875015	0.7474747474747474	0.0909090909090909	0.6666666666666666	2.8859711002633803
BIP	Epilepsy	G6_EPLEPSY	GE_MODE	0.1944	-0.1119	0.3063	0.09122539817817543	3.3576175727044246	0.0007861730072475031	0.2316436477840608	0.255575727052446	0.7474747474747474	0.0909090909090909	0.6666666666666666	2.5390804070409048
BIP	Epilepsy	FE	FE_STRICT	0.2867	0.3412	-0.05449999999999999	0.03797546229618529	-1.4351372361166652	0.15124799454261753	0.9307664115842771	0.10639149381999909	0.33333333333333337	1.0	1.0	0.0922098694432019
BIP	Epilepsy	FE	FE_MODE	0.2867	0.261	0.0257	0.03464388969113301	0.7418335593701487	0.45818818486567137	0.9180831069207772	0.09705780925661449	0.33333333333333337	1.0	1.0	0.1441380805348285
BIP	Epilepsy	FE	GE	0.2867	-0.0235	0.31020000000000003	0.10908389213870161	2.8436829115482665	0.004459540433162608	0.07987510608355392	0.30560781975001583	0.33333333333333337	0.0	1.0	1.7025940795585168
BIP	Epilepsy	FE	GE_STRICT	0.2867	-0.0026	0.2893	0.19907698703532542	1.4532066428585484	0.14616638833712725	-0.00018351081757957336	0.5577311441446348	0.6666666666666667	0.0	1.0	2.3631423316360336
BIP	Epilepsy	FE	GE_MODE	0.2867	-0.1119	0.3986	0.12157988624732093	3.2785028206816844	0.0010435932126599957	0.021404427968804218	0.3406164121303505	0.6666666666666667	0.0	1.0	2.0162516384135585
BIP	Epilepsy	FE_STRICT	FE_MODE	0.3412	0.261	0.0802	0.047079500563162596	1.7035015036406858	0.08847425685478391	0.8882577460220737	0.1318972328538975	0.33333333333333337	1.0	1.0	0.0519282110916264
BIP	Epilepsy	FE_STRICT	GE	0.3412	-0.0235	0.3647	0.13104044445207466	2.7831102185660055	0.005384051235788566	-0.09663147214932409	0.3671209721518859	0.6666666666666667	0.0	1.0	1.6103842101153147
BIP	Epilepsy	FE_STRICT	GE_STRICT	0.3412	-0.0026	0.3438	0.2081077413274302	1.652028885648592	0.09852866248685917	-0.023952646582039196	0.5830315718778057	0.6666666666666667	0.0	1.0	2.270932462192832
BIP	Epilepsy	FE_STRICT	GE_MODE	0.3412	-0.1119	0.4531	0.14000572061172153	3.2362963314662276	0.0012109160470737761	-0.09521533052658472	0.3922379573170532	0.6666666666666667	0.0	1.0	1.9240417689703564
BIP	Epilepsy	FE_MODE	GE	0.261	-0.0235	0.28450000000000003	0.11371136870243778	2.5019486023819253	0.012351185438216457	-0.03739055523269726	0.3185720896881433	0.6666666666666667	0.0	1.0	1.558455999023688
BIP	Epilepsy	FE_MODE	GE_STRICT	0.261	-0.0026	0.2636	0.2040489121560024	1.2918471224118497	0.19641009273033405	-0.08164169739290758	0.5716604160682879	0.6666666666666667	0.0	1.0	2.219004251101205
BIP	Epilepsy	FE_MODE	GE_MODE	0.261	-0.1119	0.3729	0.1259487431022126	2.960728236068035	0.0030691262376108474	-0.08242051557057724	0.3528561369150665	0.33333333333333337	0.0	1.0	1.8721135578787296
BIP	Epilepsy	GE	GE_STRICT	-0.0235	-0.0026	-0.020900000000000002	0.13354657262476022	-0.15649971084413314	0.8756391471477326	0.747030133815098	0.3741421037951782	0.33333333333333337	1.0	1.0	0.660548252077517
BIP	Epilepsy	GE	GE_MODE	-0.0235	-0.1119	0.0884	0.041260934504928196	2.1424623814431913	0.0321562927116274	0.8816089387424922	0.11559602419453416	0.33333333333333337	1.0	1.0	0.3136575588550416
BIP	Epilepsy	GE_STRICT	GE_MODE	-0.0026	-0.1119	0.1093	0.12480282683723164	0.8757814447788872	0.3811488591645422	0.7726734358106099	0.3496457548459006	0.33333333333333337	1.0	1.0	0.3468906932224753
BIP	Sleep apnoea	G6_SLEEPAPNO	G6_SLEEPAPNO_INCLAVO	0.1352	0.1382	-0.0030000000000000027	0.006450555605432979	-0.4650762172289862	0.6418768766788446	0.9742224194836533	0.018071781232796784	0.44444444444444453	1.0	0.6666666666666666	0.0976805772971709
BIP	Sleep apnoea	G6_SLEEPAPNO	SLEEP	0.1352	0.1994	-0.06420000000000001	0.009025765881734567	-7.112969784638606	1.1357215056135722e-12	0.9589227774430328	0.025286452276415926	0.7581699346405228	0.0588235294117647	0.6666666666666666	0.1345241316552441
BIP	Sleep apnoea	G6_SLEEPAPNO_INCLAVO	SLEEP	0.1382	0.1994	-0.061200000000000004	0.011527364719625174	-5.309105896147094	1.1016431593707238e-07	0.9300688454988554	0.032294894602298826	0.8137254901960784	0.0588235294117647	0.5	0.036843554358073
BIP	Insomnia	F5_INSOMNIA	KRA_PSY_SLEEP_NONORG_EXMORE	0.4296	0.5639	-0.13429999999999997	0.04829294374422475	-2.780944576733545	0.0054200989623650496	0.7844370427645032	0.1352967973329812	0.6333333333333333	0.1	1.0	0.2071965276612578
BIP	Constipation	K11_CONSTIPATION	K11_OTHFUNC	0.278	0.3329	-0.05489999999999995	0.049194693641941165	-1.1159740194660892	0.26443325568958376	0.5528536594681287	0.1378231265168584	0.7361111111111112	0.125	0.6666666666666666	0.8161211235429875
BIP	ADHD	F5_ADHD	KRA_PSY_HYPERKIN_EXMORE	0.4373	0.4571	-0.019799999999999984	0.0292665172241167	-0.6765410400006204	0.49869719869543105	0.9226729768988422	0.08199264204073393	0.6000000000000001	0.2	1.0	0.0620505905283163
MDD	Epilepsy	G6_EPLEPSY	FE	0.3316	0.279	0.05259999999999998	0.04983796670479411	1.0554202644655681	0.2912331589285049	0.7965192594940389	0.13962531082095747	0.6868686868686869	0.2727272727272727	0.6666666666666666	0.5228287686273466
MDD	Epilepsy	G6_EPLEPSY	FE_STRICT	0.3316	0.3065	0.02510000000000001	0.06224306912621988	0.40325774985646784	0.6867586197178366	0.7281597241940214	0.17437926239400128	0.6868686868686869	0.2727272727272727	0.6666666666666666	0.6150386380705487
